position COMBINED_rate(cM/Mb) Genetic_Map(cM)
18274994 -1 0
18309845 0.1031918738 0
18315648 0.1032565516 0.0005988224
18331687 0.1111991554 0.0022549543
18331779 0.1205349975 0.0022651846
18338179 0.3148203104 0.0030366086
18343910 0.7087923598 0.0048408438
18345121 0.7098596620 0.0056991913
18345652 0.2197608752 0.0060761268
18350870 0.1416650747 0.0072228391
18360456 0.1403091896 0.0085808405
18360479 0.1372557211 0.0085840676
18361322 0.1358972285 0.0086997741
18371463 0.1358746733 0.0100779079
18379720 0.1358668694 0.0111998251
18403665 0.1364114523 0.0144531573
18404816 0.1368961305 0.0146101669
18421386 2.3602390570 0.0168785358
18421555 2.8699480281 0.0172774162
18421878 0.4011543523 0.0182044094
18422210 0.4027051251 0.0183375926
18423412 0.3802747870 0.0188216442
18424624 0.3394524925 0.0192825372
18424902 0.3060586742 0.0193769050
18427103 0.3030617995 0.0200505402
18427635 0.3004211869 0.0202117690
18430164 0.2983484154 0.0209715342
18432609 0.2959093406 0.0217009961
18432722 0.2934110454 0.0217344339
18433710 0.2921764879 0.0220243240
18436314 0.2911647542 0.0227851515
18436850 0.2904091069 0.0229412158
18437106 0.2886558185 0.0230155606
18438302 0.2860008578 0.0233607929
18440959 0.2814773258 0.0241206972
18446422 0.2823116414 0.0256584078
18448072 0.2905821204 0.0261242221
18451755 4.8109549198 0.0271944360
18452025 4.8646868892 0.0284933938
18452100 4.8556065239 0.0288582454
18452965 -1 0.0330583450
18453936 -1 0.0330583450
18454972 -1 0.0330583450
18472812 -1 0.0330583450
18675891 -1 0.0330583450
18682601 3.8295551221 0.0330583450
18683757 3.8295551221 0.0374853107
18687221 3.8583391763 0.0507508897
18687985 3.8809376442 0.0536986608
18693747 3.8819094910 0.0760606235
18700492 6.8227243211 0.1022441030
18706001 6.8844361110 0.1398304913
18706026 6.8922748249 0.1400026022
18711364 6.8922748249 0.1767935652
18717305 6.8922748249 0.2177405700
18718242 6.8926132895 0.2241986315
18721063 6.8930838875 0.2436426936
18722617 6.8862317494 0.2543545459
18723848 6.8862317494 0.2628314972
18737000 6.8862317494 0.3533992172
18742108 6.8854431505 0.3885740889
18745303 6.8938325998 0.4105730798
18745793 6.8833704834 0.4139510578
18745893 6.8234365337 0.4146393948
18748755 6.8256243230 0.4341680702
18748884 5.4026756679 0.4350485757
18749428 5.4026756679 0.4379876313
18753439 3.9563054370 0.4596577634
18754303 3.9563054370 0.4630760113
18758300 3.9563517325 0.4788893641
18772241 3.9584810013 0.5340448636
18782654 3.9648817706 0.5752645263
18782954 3.9648817706 0.5764539908
18787846 3.9725093373 0.5958501924
18804002 10.6954326797 0.6600300533
18804252 10.7911573044 0.6627039115
18804894 10.7911573044 0.6696318345
18809644 10.7648838880 0.7208898317
18809823 10.7648838880 0.7228167459
18810228 10.7648838880 0.7271765238
18811070 10.5945816717 0.7362405561
18812205 10.0541556399 0.7482654063
18815734 6.4841637893 0.7837465215
18823910 6.2037232677 0.8367610447
18824589 5.9998398345 0.8409733728
18825660 6.0034097903 0.8473992012
18825875 5.8334872943 0.8486899343
18829742 5.8309618949 0.8712480297
18830636 5.8300044778 0.8764609096
18831227 5.8269139996 0.8799064423
18832956 5.7176800511 0.8899811766
18833058 5.5842011644 0.8905643800
18834997 5.4337036222 0.9013921460
18835006 5.2576452224 0.9014410493
18837508 5.2412539332 0.9145956777
18838446 5.2646233288 0.9195119739
18840658 5.2757469003 0.9311573207
18842254 5.3154427031 0.9395774127
18842870 5.4340069042 0.9428517254
18842914 5.5603398284 0.9430908217
